|track                                                                                                                                                                                            |artist                                                 |
|Self Esteem                                                                                                                                                                                      |The Offspring                                          |
|All the Small Things                                                                                                                                                                             |blink-182                                              |
|Motivation                                                                                                                                                                                       |Sum 41                                                 |
|No One Knows                                                                                                                                                                                     |Queens of the Stone Age                                |
|Lifestyles of the Rich and Famous                                                                                                                                                                |Good Charlotte                                         |
|Outside                                                                                                                                                                                          |Staind                                                 |
|I Don't Care                                                                                                                                                                                     |Fall Out Boy                                           |
|99 Red Balloons                                                                                                                                                                                  |Goldfinger                                             |
|Remedy                                                                                                                                                                                           |Seether                                                |
|In Too Deep - Radio Edit                                                                                                                                                                         |Sum 41                                                 |
|Zombietronix                                                                                                                                                                                     |Incubite                                               |
|Passengers                                                                                                                                                                                       |Sumo Cyco                                              |
|Sleep Tight                                                                                                                                                                                      |Sumo Cyco                                              |
|Anti-Anthem                                                                                                                                                                                      |Sumo Cyco                                              |
|New Rules                                                                                                                                                                                        |Sumo Cyco                                              |
|Free Yourself                                                                                                                                                                                    |Sumo Cyco                                              |
|Move Mountains (feat. Benji Webbe)                                                                                                                                                               |Sumo Cyco                                              |
|Undefeated                                                                                                                                                                                       |Sumo Cyco                                              |
|What Remains Is Black                                                                                                                                                                            |X-Fusion                                               |
|Existence                                                                                                                                                                                        |X-Fusion                                               |
|Come To Me                                                                                                                                                                                       |Supreme Court                                          |
|Tiefer                                                                                                                                                                                           |In Strict Confidence                                   |
|Verrückt                                                                                                                                                                                         |Eisbrecher                                             |
|Symphony Of Pain                                                                                                                                                                                 |Mono Inc.                                              |
|Vermin                                                                                                                                                                                           |Angelspit                                              |
|Pure Minua                                                                                                                                                                                       |Ruoska                                                 |
|Agony (Grendel Remix)                                                                                                                                                                            |Neuroticfish                                           |
|Killing in the Name                                                                                                                                                                              |Rage Against the Machine                               |
|Feel So Numb                                                                                                                                                                                     |Rob Zombie                                             |
|Fake It                                                                                                                                                                                          |Seether                                                |
|Hit the Ground                                                                                                                                                                                   |Skindred                                               |
|Oh Lord                                                                                                                                                                                          |In This Moment                                         |
|No Giving Up                                                                                                                                                                                     |Crossfade                                              |
|Game Over                                                                                                                                                                                        |Machine Head                                           |
|Sorrow                                                                                                                                                                                           |Flyleaf                                                |
|Enemies                                                                                                                                                                                          |Shinedown                                              |
|STREETS                                                                                                                                                                                          |pronobozo                                              |
|Hackwave Session                                                                                                                                                                                 |pronobozo                                              |
|BATTLE ANTHEMS                                                                                                                                                                                   |pronobozo                                              |
|Carpe Diem Part 3 - Original Mix                                                                                                                                                                 |Firefarm                                               |
|Agony (Grendel Remix)                                                                                                                                                                            |Neuroticfish                                           |
|The Sum Of Us All (SERAPHIM SYSTEM Remix)                                                                                                                                                        |Iszoloscope                                            |
|Sunset Neon                                                                                                                                                                                      |Blue Stahli                                            |
|Legendary (Athene on Youtube Mix)                                                                                                                                                                |Warpa                                                  |
|Final Lap                                                                                                                                                                                        |Voicians                                               |
|The Construct                                                                                                                                                                                    |Voicians                                               |
|Play Girl Play                                                                                                                                                                                   |Riot 87                                                |
|Nothing to Say (feat. Emily Underhill)                                                                                                                                                           |Dead C.A.T Bounce                                      |
|I Was There (feat. Zoe Holman, Les Stroud & Juan Barbosa)                                                                                                                                        |pronobozo                                              |
|ALL I CARE ABOUT                                                                                                                                                                                 |pronobozo                                              |
|Lock It in (Instrumental)                                                                                                                                                                        |pronobozo                                              |
|Dragon's Awakening - Original Mix                                                                                                                                                                |CrazyX                                                 |
|MAGENTA RADIO                                                                                                                                                                                    |pronobozo                                              |
|COMING BACK                                                                                                                                                                                      |pronobozo                                              |
|BETTER DAYS                                                                                                                                                                                      |pronobozo                                              |
|Crutch 2014                                                                                                                                                                                      |Rabbit Junk                                            |
|Gimme Deathrace                                                                                                                                                                                  |Combichrist                                            |
|Kaltes Herz                                                                                                                                                                                      |Die Krupps                                             |
|Ready To Blow                                                                                                                                                                                    |KMFDM                                                  |
|Everlasting Bomb                                                                                                                                                                                 |Widescreen Mode                                        |
|Snuff Machinery - Extended                                                                                                                                                                       |[:SITD:]                                               |
|Boy with the Sun in His Eyes (Remastered)                                                                                                                                                        |Rabbit Junk                                            |
|Raise The Devil                                                                                                                                                                                  |Santa Hates You                                        |
|Pro-test                                                                                                                                                                                         |Skinny Puppy                                           |
|WWIII                                                                                                                                                                                            |KMFDM                                                  |
|Final Exit                                                                                                                                                                                       |Fear Factory                                           |
|The Expidition                                                                                                                                                                                   |Rabbit Junk                                            |
|Blitzkrieg                                                                                                                                                                                       |Deathstars                                             |
|Kunst                                                                                                                                                                                            |KMFDM                                                  |
|Contagion                                                                                                                                                                                        |Circle of Dust                                         |
|Darkside                                                                                                                                                                                         |Gothminister                                           |
|From the Ashes (Remastered)                                                                                                                                                                      |Rabbit Junk                                            |
|Auf Wiedersehen Boy                                                                                                                                                                              |Zeromancer                                             |
|Soul Creation                                                                                                                                                                                    |Cinder                                                 |
|Masterbuilder (My Lovely Mr. Singing Club-Mix by PLASTIC)                                                                                                                                        |Absurd Minds                                           |
|I Turn To You                                                                                                                                                                                    |Darkseed                                               |
|Brighter Than The Sun                                                                                                                                                                            |Tiamat                                                 |
|Stop a Bullet                                                                                                                                                                                    |Black Light Burns                                      |
|The Angel At The Pillar                                                                                                                                                                          |Pride and Fall                                         |
|Destillat - VNV Nation Remix                                                                                                                                                                     |Das Ich                                                |
|The Poison (Reprise)                                                                                                                                                                             |Dance With The Dead                                    |
|Electro Hurtz - Mix by COMBICHRIST                                                                                                                                                               |Mindless Self Indulgence                               |
|Suffer My Disbelief                                                                                                                                                                              |Callenish Circle                                       |
|J1M1                                                                                                                                                                                             |Atari Teenage Riot                                     |
|Empty Vessel                                                                                                                                                                                     |Evesdroppers                                           |
|PENTAFUNK                                                                                                                                                                                        |Eisenfunk                                              |
